title,author,rating,format,year
The Boy in the Striped Pajamas,John Boyne,4.36,Hardcover,2006
Fever 1793,Laurie Halse Anderson,4.2,Paperback,2000
Anne of Green Gables: illustrated - first published in 1908 (1st. Page Classics),L.M. Montgomery,4.21,Paperback,1908
Mockingjay (The Hunger Games #3),Suzanne Collins,4.31,Hardcover,2010
The Giving Tree,Shel Silverstein,4.59,Hardcover,1964
The Power of a Praying Parent,Stormie Omartian,4.63,Paperback,2014
The Lincoln Lawyer (Mickey Haller #1; Harry Bosch Universe #17),Michael Connelly,4.28,Paperback,2005
The Lincoln Lawyer (Mickey Haller #1; Harry Bosch Universe #17),Michael Connelly,4.33,Paperback,2005
The Lincoln Lawyer (Mickey Haller #1; Harry Bosch Universe #17),Michael Connelly,4.33,Paperback,2005
Coinman: An Untold Conspiracy,Pawan Mishra,4.29,Paperback,2015
The Power of Praying for Your Adult Children,Stormie Omartian,4.64,Paperback,2014
In Cold Blood,Truman Capote,4.28,Paperback,1994
Naked in Death (In Death #1),J.D. Robb,4.12,Hardcover,1995
The Power of a Praying Husband,Stormie Omartian,4.51,Paperback,2014
The 4-Hour Workweek: Escape 9-5 Live Anywhere and Join the New Rich,Timothy Ferriss,4.12,Hardcover,2015
The Lion the Witch and the Wardrobe (The Chronicles of Narnia),C.S. Lewis,4.33,Paperback,2005
Smile,Raina Telgemeier,4.5,Hardcover,2010
The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the,J.R.R. Tolkien,4.64,Mass Market Paperback,2005
The Glass Castle: A Memoir,Jeannette Walls,4.42,Paperback,2006
Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),Rick Riordan,4.58,Paperback,2009
The Screwtape Letters,C.S. Lewis,4.4,Hardcover,2013
Anne of Green Gables: illustrated - first published in 1908 (1st. Page Classics),L.M. Montgomery,4.21,Paperback,1908
The Storyteller,Jodi Picoult,4.43,Hardcover,2013
The Catcher in the Rye,J.D. Salinger,3.99,Paperback,2010
The Catcher in the Rye,J.D. Salinger,4.09,Paperback,2010
Let's Pretend This Never Happened: A Mostly True Memoir,Jenny Lawson,4.1,Hardcover,2012
When Breath Becomes Air,Paul Kalanithi,4.52,Kindle Edition,2016
Beatrix Potter the Complete Tales (Peter Rabbit),Beatrix Potter,4.53,Hardcover,2006
Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live Love Parent and Lead,Brené Brown,4.47,Hardcover,2012
Face of Our Father,G Egore Pitir,4.31,Paperback,2014
House of Night Books 1-4 (Marked / Betrayed / Chosen / Untamed),P.C. Cast,4.14,Paperback,2012
Harry Potter and the Sorcerer's Stone (Harry Potter #1),J.K. Rowling,4.58,Hardcover,1997
Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter Book 1),J.K. Rowling,4.58,Hardcover,2012
Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission,Hampton Sides,4.44,Paperback,2002
Wrinkle in Time / Wind in the Door / Swiftly Tiltling Planet,Madeleine L'Engle,4.31,Mass Market Paperback,2017
A Swiftly Tilting Planet (A Wrinkle in Time Quintet #3),Madeleine L'Engle,4.31,Mass Market Paperback,2017
Influence: The Psychology of Persuasion Revised Edition,Robert B. Cialdini,4.35,Paperback,2006
Green Eggs and Ham,Dr. Seuss,4.55,Hardcover,1988
The Tale of Peter Rabbit Story Board Book,Beatrix Potter,4.19,Hardcover,2002
Beatrix Potter the Complete Tales (Peter Rabbit),Beatrix Potter,4.44,Hardcover,2006
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.04,Paperback,2012
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.56,Hardcover,2013
Alice's Adventures in Wonderland and Through the Looking-Glass,Lewis Carroll,4.31,Leather Bound,2000
The Looming Tower: Al-Qaeda and the Road to 9/11,Lawrence Wright,4.54,Hardcover,2006
The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,4.63,Paperback,1988
