tableA_title, tableA_author, tableB_title, tableB_author
The Time Trilogy (A Wrinkle in Time Quintet #1-3),Madeleine L'Engle,Wrinkle in Time / Wind in the Door / Swiftly Tiltling Planet,Madeleine L'Engle
The Time Trilogy (A Wrinkle in Time Quintet #1-3),Madeleine L'Engle,A Wind in the Door (A Wrinkle in Time Quintet),Madeleine L'Engle
The Time Trilogy (A Wrinkle in Time Quintet #1-3),Madeleine L'Engle,A Wrinkle in Time: 50th Anniversary Commemorative Edition (A Wrinkle in Time Quintet),Madeleine L'Engle
The Time Trilogy (A Wrinkle in Time Quintet #1-3),Madeleine L'Engle,A Swiftly Tilting Planet (A Wrinkle in Time Quintet),Madeleine L'Engle
The Time Trilogy (A Wrinkle in Time Quintet #1-3),Madeleine L'Engle,A Wrinkle in Time (A Wrinkle in Time Quintet Book 1),Madeleine L'Engle
Oh The Places You'll Go!,Dr. Seuss,Oh the Places You'll Go!  ,Dr. Seuss
The Last Olympian (Percy Jackson and the Olympians #5),Rick Riordan,Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),Rick Riordan and 
The Girl on the Train,Paula Hawkins,The Girl on the Train,Paula Hawkins
The Catcher in the Rye,J.D. Salinger,The Catcher in the Rye,J.D. Salinger
The Catcher in the Rye,J.D. Salinger,The Catcher in the Rye,J.D. Salinger
Ready Player One (Ready Player One #1),Ernest Cline,Ready Player One: A Novel,Ernest Cline
The Little Prince,Antoine de Saint-Exupéry,The Little Prince,Antoine de Saint-Exupry
The Color of Water: A Black Man's Tribute to His White Mother,James McBride,The Color of Water: A Black Man's Tribute to His White Mother,James McBride
Gift from the Sea,Anne Morrow Lindbergh,Gift from the Sea: 50th-Anniversary Edition,Anne Morrow Lindbergh
The Fellowship of the Ring (The Lord of the Rings #1),J.R.R. Tolkien,The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the,J.R.R. Tolkien
The Sea of Monsters (Percy Jackson and the Olympians #2),Rick Riordan,Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),Rick Riordan and 
The Old Man and the Sea,Ernest Hemingway,The Old Man and The Sea,Ernest Hemingway
A Feast for Crows (A Song of Ice and Fire #4),George R.R. Martin,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin
The Handmaid's Tale,Margaret Atwood,The Handmaid's Tale,Margaret Atwood
Fox in Socks,Dr. Seuss,Dr. Seuss's Beginner Book Collection (Cat in the Hat One Fish Two Fish Green Eggs and Ham Hop on Pop Fox in Socks),Seuss
Fox in Socks,Dr. Seuss,Fox in Socks (Beginner Books),Dr. Seuss and 
The Battle of the Labyrinth (Percy Jackson and the Olympians #4),Rick Riordan,Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),Rick Riordan and 
The Titan's Curse (Percy Jackson and the Olympians #3),Rick Riordan,Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),Rick Riordan and 
The Great Gatsby,F. Scott Fitzgerald,The Great Gatsby,F. Scott Fitzgerald
A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,A New Earth: Awakening to Your Life's Purpose (Oprah's Book Club Selection 61),Eckhart Tolle
Goodnight Moon,Margaret Wise Brown,Goodnight Moon,Margaret Wise Brown and 
Fall of Giants (The Century Trilogy #1),Ken Follett,Fall of Giants: Book One of the Century Trilogy,Ken Follett
Rich Dad Poor Dad,Robert T. Kiyosaki,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki
The Little House Collection (Little House #1-9),Laura Ingalls Wilder,The Little House (9 Volumes Set),Laura Ingalls Wilder and 
The Complete Calvin and Hobbes,Bill Watterson,The Complete Calvin and Hobbes,Bill Watterson
The Lord of the Rings (The Lord of the Rings #1-3),J.R.R. Tolkien,The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the,J.R.R. Tolkien
Mere Christianity and The Screwtape Letters,C.S. Lewis,The Screwtape Letters,C. S. Lewis
The Universe in a Nutshell,Stephen Hawking,The Universe in a Nutshell,Stephen William Hawking
The Westing Game,Ellen Raskin,The Westing Game (Puffin Modern Classics),Ellen Raskin
Harry Potter and the Chamber of Secrets (Harry Potter #2),J.K. Rowling,Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter Book 2),J.K. Rowling and 
Harry Potter and the Chamber of Secrets (Harry Potter #2),J.K. Rowling,Harry Potter And The Chamber Of Secrets,J. K. Rowling and 
The Light Between Oceans,M.L. Stedman,The Light Between Oceans: A Novel,M.L. Stedman
