tableA_title, tableA_author, tableB_title, tableB_author
Lord of the Flies,William Golding,Lord of the Flies,William Golding and 
Out of My Mind,Sharon M. Draper,Out of My Mind,Sharon M. Draper
The Last Battle (Chronicles of Narnia #7),C.S. Lewis,The Lion the Witch and the Wardrobe (The Chronicles of Narnia), C. S. Lewis
Into the Wild (Warriors #1),Erin Hunter,Warriors Box Set: Volumes 1 to 6: The Complete First Series (Warriors: The Prophecies Begin),Erin Hunter
Into the Wild (Warriors #1),Erin Hunter,Warriors: The New Prophecy Box Set: Volumes 1 to 6: The Complete Second Series,Erin Hunter
Animal Farm / 1984,George Orwell,Animal Farm: 1984,George Orwell and 
Love You Forever,Robert Munsch,Love You Forever,Robert Munsch and 
When Things Fall Apart: Heart Advice for Difficult Times,Pema Chödrön,When Things Fall Apart: Heart Advice for Difficult Times,Pema Chodron
The Power of a Praying Woman,Stormie Omartian,The Power of a Praying® Wife,Stormie Omartian
Winter of the World (The Century Trilogy #2),Ken Follett,Fall of Giants: Book One of the Century Trilogy,Ken Follett
Harry Potter and the Deathly Hallows (Harry Potter #7),J.K. Rowling,Harry Potter and the Deathly Hallows (Book 7),J. K. Rowling
The Two Towers (The Lord of the Rings #2),J.R.R. Tolkien,The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the,J.R.R. Tolkien
A Dog's Purpose (A Dog's Purpose #1),W. Bruce Cameron,A Dog's Purpose: A Novel for Humans,W. Bruce Cameron
Little Town on the Prairie  (Little House #7),Laura Ingalls Wilder,The Little House (9 Volumes Set),Laura Ingalls Wilder and 
One Fish Two Fish Red Fish Blue Fish,Dr. Seuss,Dr. Seuss's Beginner Book Collection (Cat in the Hat One Fish Two Fish Green Eggs and Ham Hop on Pop Fox in Socks),Seuss
One Fish Two Fish Red Fish Blue Fish,Dr. Seuss,One Fish Two Fish Red Fish Blue Fish (I Can Read It All by Myself),Dr. Seuss and 
The Kite Runner,Khaled Hosseini,The Kite Runner,Khaled Hosseini
The Boy in the Striped Pajamas,John Boyne,The Boy in the Striped Pajamas,John Boyne
Fever 1793,Laurie Halse Anderson,Fever 1793,Laurie Halse Anderson
Anne of Avonlea (Anne of Green Gables #2),L.M. Montgomery,Anne of Green Gables: illustrated - first published in 1908 (1st. Page Classics),Lucy Maud Montgomery
Mockingjay (The Hunger Games #3),Suzanne Collins,The Hunger Games,Suzanne Collins
The Giving Tree,Shel Silverstein,The Giving Tree,Shel Silverstein
The Power of a Praying Parent,Stormie Omartian,The Power of a Praying® Wife,Stormie Omartian
