ID,title,author,rating,format
b78,The Pecan Man,Cassie Dandridge Selleck,4.5,Paperback
b79,The Librarian of Auschwitz,Antonio Iturbe and ,4.5,Hardcover
b80,"Fall from Grace: The Truth and Tragedy of ""Shoeless Joe"" Jackson",Tim Hornbaker,4.3,Paperback
b81,Small Great Things: A Novel,Jodi Picoult,4.7,Paperback
b82,The Best American Sports Writing 2017 (The Best American Series ®),Glenn Stout and ,4.4,Paperback
b83,Boys in the Trees: A Memoir,Carly Simon,4,Paperback
b84,Blood Work,Michael Connelly,4.5,Mass Market Paperback
b85,Air Fry Everything: Foolproof Recipes for Fried Favorites and Easy Fresh Ideas by Blue Jean Chef Meredith Laurence (The Blue Jean Chef),Meredith Laurence,4.5,Paperback
b86,The Storyteller,Jodi Picoult,4.6,Paperback
b87,Darkest Hour: How Churchill Brought England Back from the Brink,Anthony McCarten,4.7,Hardcover
b88,Disney Dreams Collection Thomas Kinkade Studios Coloring Book,Thomas Kinkade,4.7,Paperback
b89,Noble Beginnings: A Jack Noble Thriller (Jack Noble #1),L.T. Ryan,4.1,Kindle Edition
b90,Pandemic (The Extinction Files Book 1),Riddle Inc.,4.2,Kindle Edition
b91,Trouble's Child,Terry Goodkind,,Kindle Edition
b92,Sister Sister: A gripping psychological thriller,Sue Fortin,4.2,Paperback
b93,The Silent Sister: A Novel,Diane Chamberlain,4.4,Paperback
b94,180 Seconds,Jessica Park,4.6,Paperback
b95,Flags of Our Fathers: A Young People's Edition,Michael French and ,4.6,Mass Market Paperback
b96,Everything We Keep: A Novel (The Everything Series),Kerry Lonsdale,4.2,Paperback
b97,The Deadly Caress: An Amanda Blake thriller. (Book 1.),O. N. Stefan,4.4,Kindle Edition
b98,A Pilgrim for Freedom,Michael Novakovic and ,4.4,Kindle Edition
b99,Tucker's Way (The Tucker Series),David Johnson,4.6,Paperback
b100,The Lost City of the Monkey God: A True Story,Douglas Preston,4.4,Paperback
b101,Unforgettable Steve McQueen,Henri Suzeau,4.3,Hardcover
b102,The Forbidden Library,Django Wexler,4.3,Paperback
b103,Cold Blood: A gripping serial killer thriller that will take your breath away (Detective Erika Foster) (Volume 5),Robert Bryndza,4.7,Paperback
b104,After the Lie: A gripping novel about love loss and family secrets,Kerry Fisher,4.2,Paperback
b105,Natural Disaster,Ginger Zee,4.6,Kindle Edition
b106,Dr Stanton,T L Swan and ,4.6,Kindle Edition
b107,The Angry Therapist: A No BS Guide to Finding and Living Your Own Truth,John Kim,5,Paperback
b108,The Russian Assassin: A Max Austin Thriller Book #1,Jack Arbor,4.4,Kindle Edition
b109,The House Next Door: A Ghost Story,Darcy Coates,4.5,Kindle Edition
b110,I Am Fartacus (MAX),Mark Maciejewski,4.9,Paperback
